y1,x1_COBYQA,x1_UOBYQA,y2,x2_COBYQA,x2_UOBYQA,y3,x3_COBYQA,x3_UOBYQA,y4,x4_COBYQA,x4_UOBYQA,y5,x5_COBYQA,x5_UOBYQA,y6,x6_COBYQA,x6_UOBYQA,y7,x7_COBYQA,x7_UOBYQA,y8,x8_COBYQA,x8_UOBYQA,y9,x9_COBYQA,x9_UOBYQA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0
0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0
0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0
0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.17932369944456192,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.0
0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.17932369944456192,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
0.25,0.0,1.5551272711803932,0.25,0.0,0.5017286394993423,0.25,0.0,0.3422719578303156,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
0.3125,0.0,1.5551272711803932,0.3125,0.0,0.5017286394993423,0.3125,0.0,0.3422719578303156,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0
0.3125,0.0,2.0203814999980207,0.3125,0.0,0.6821252352066579,0.3125,0.0,0.4551013651385643,0.3125,0.0,0.18481887580190245,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0
0.375,0.0,2.0203814999980207,0.375,0.0,0.6821252352066579,0.375,0.0,0.4551013651385643,0.375,0.0,0.18481887580190245,0.375,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0
0.375,0.0,2.07120695049242,0.375,0.0,0.7056694636766677,0.375,0.0,0.5287590790730695,0.375,0.0,0.2647912906146104,0.375,0.0,0.011611290370288642,0.375,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0,0.375,0.0,0.0
